Date,Open,High,Low,Close,Adj Close**,Volume
15-Dec-21,"4,636.46","4,712.60","4,611.22",4709.85,"4,709.85","3,367,580,000"
16-Dec-21,"4,719.13","4,731.99","4,651.89",4668.67,"4,668.67","3,592,810,000"
17-Dec-21,"4,652.50","4,666.70","4,600.22",4620.64,"4,620.64","5,609,780,000"
20-Dec-21,"4,587.90","4,587.90","4,531.10",4568.02,"4,568.02","3,395,780,000"
21-Dec-21,"4,594.96","4,651.14","4,583.16",4649.23,"4,649.23","2,564,370,000"
22-Dec-21,"4,650.36","4,697.67","4,645.53",4696.56,"4,696.56","2,439,570,000"
23-Dec-21,"4,703.96","4,740.74","4,703.96",4725.79,"4,725.79","2,194,630,000"
27-Dec-21,"4,733.99","4,791.49","4,733.99",4791.19,"4,791.19","2,264,120,000"
28-Dec-21,"4,795.49","4,807.02","4,780.04",4786.35,"4,786.35","2,217,050,000"
29-Dec-21,"4,788.64","4,804.06","4,778.08",4793.06,"4,793.06","2,369,370,000"
30-Dec-21,"4,794.23","4,808.93","4,775.33",4778.73,"4,778.73","2,390,990,000"
31-Dec-21,"4,775.21","4,786.83","4,765.75",4766.18,"4,766.18","2,446,190,000"
3-Jan-22,"4,778.14","4,796.64","4,758.17",4796.56,"4,796.56","2,775,190,000"
4-Jan-22,"4,804.51","4,818.62","4,774.27",4793.54,"4,793.54","3,641,050,000"
5-Jan-22,"4,787.99","4,797.70","4,699.44",4700.58,"4,700.58","3,733,540,000"
6-Jan-22,"4,693.39","4,725.01","4,671.26",4696.05,"4,696.05","3,371,250,000"
7-Jan-22,"4,697.66","4,707.95","4,662.74",4677.03,"4,677.03","3,279,870,000"
10-Jan-22,"4,655.34","4,673.02","4,582.24",4670.29,"4,670.29","3,621,800,000"
11-Jan-22,"4,669.14","4,714.13","4,638.27",4713.07,"4,713.07","3,421,600,000"
12-Jan-22,"4,728.59","4,748.83","4,706.71",4726.35,"4,726.35","3,060,040,000"
13-Jan-22,"4,733.56","4,744.13","4,650.29",4659.03,"4,659.03","3,539,830,000"
14-Jan-22,"4,637.99","4,665.13","4,614.75",4662.85,"4,662.85","3,483,530,000"
18-Jan-22,"4,632.24","4,632.24","4,568.70",4577.11,"4,577.11","3,324,960,000"
19-Jan-22,"4,588.03","4,611.55","4,530.20",4532.76,"4,532.76","3,387,370,000"
20-Jan-22,"4,547.35","4,602.11","4,477.95",4482.73,"4,482.73","3,473,060,000"
21-Jan-22,"4,471.38","4,494.52","4,395.34",4397.94,"4,397.94","3,945,810,000"
24-Jan-22,"4,356.32","4,417.35","4,222.62",4410.13,"4,410.13","5,172,540,000"
25-Jan-22,"4,366.64","4,411.01","4,287.11",4356.45,"4,356.45","3,989,420,000"
26-Jan-22,"4,408.43","4,453.23","4,304.80",4349.93,"4,349.93","4,046,270,000"
27-Jan-22,"4,380.58","4,428.74","4,309.50",4326.51,"4,326.51","4,074,330,000"
28-Jan-22,"4,336.19","4,432.72","4,292.46",4431.85,"4,431.85","3,936,030,000"
31-Jan-22,"4,431.79","4,516.89","4,414.02",4515.55,"4,515.55","4,001,950,000"
1-Feb-22,"4,519.57","4,550.49","4,483.53",4546.54,"4,546.54","3,796,450,000"
2-Feb-22,"4,566.39","4,595.31","4,544.32",4589.38,"4,589.38","3,777,170,000"
3-Feb-22,"4,535.41","4,542.88","4,470.39",4477.44,"4,477.44","3,596,830,000"
4-Feb-22,"4,482.79","4,539.66","4,451.50",4500.53,"4,500.53","3,673,700,000"
7-Feb-22,"4,505.75","4,521.86","4,471.47",4483.87,"4,483.87","3,291,600,000"
8-Feb-22,"4,480.02","4,531.32","4,465.40",4521.54,"4,521.54","3,509,330,000"
9-Feb-22,"4,547.00","4,590.03","4,547.00",4587.18,"4,587.18","3,662,810,000"
10-Feb-22,"4,553.24","4,588.92","4,484.31",4504.08,"4,504.08","4,490,500,000"
11-Feb-22,"4,506.27","4,526.33","4,401.41",4418.64,"4,418.64","4,164,960,000"
14-Feb-22,"4,412.61","4,426.22","4,364.84",4401.67,"4,401.67","3,466,170,000"
15-Feb-22,"4,429.28","4,472.77","4,429.28",4471.07,"4,471.07","3,363,200,000"
16-Feb-22,"4,455.75","4,489.55","4,429.68",4475.01,"4,475.01","3,478,750,000"
17-Feb-22,"4,456.06","4,456.06","4,373.81",4380.26,"4,380.26","3,596,510,000"
18-Feb-22,"4,384.57","4,394.60","4,327.22",4348.87,"4,348.87","3,871,340,000"
22-Feb-22,"4,332.74","4,362.12","4,267.11",4304.76,"4,304.76","4,007,780,000"
23-Feb-22,"4,324.93","4,341.51","4,221.51",4225.5,"4,225.50","3,814,340,000"
24-Feb-22,"4,155.77","4,294.73","4,114.65",4288.7,"4,288.70","5,070,560,000"
25-Feb-22,"4,298.38","4,385.34","4,286.83",4384.65,"4,384.65","3,941,780,000"
